1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
550	-1.335025	205.046050	0.022218	10.7
551	-0.723717	204.857299	0.015917	9.5
552	-0.753848	204.669011	0.008537	9.7
553	-1.540125	204.481184	0.012742	7.9
554	-1.015549	204.293816	0.015360	8.8
555	-1.425474	204.106905	0.025289	10.3
556	-1.030084	203.920449	0.008786	9.4
557	-1.349928	203.734447	0.021709	8.4
558	-1.525343	203.548896	0.017869	8.7
559	-1.080322	203.363795	0.012134	11.0
560	-1.499042	203.179143	0.009178	9.9
561	-1.634907	202.994937	0.010585	8.7
562	-1.131221	202.811176	0.011961	8.3
563	-1.125299	202.627857	0.016493	10.1
564	-0.198506	202.444980	0.002693	7.9
565	-1.069337	202.262543	0.017529	10.2
566	-0.665505	202.080543	0.008172	8.4
567	-1.622132	201.898979	0.024392	8.3
568	-1.687062	201.717849	0.030307	10.2
569	-0.329174	201.537153	0.001765	10.4
570	-0.785972	201.356887	0.010239	8.1
571	-1.627438	201.177050	0.026646	8.2
572	-0.595220	200.997642	0.008047	11.1
573	-0.453060	200.818659	0.005456	8.6
574	-0.875903	200.640100	0.007403	8.6
575	-0.566685	200.461965	0.007775	8.0
576	-1.051559	200.284250	0.018593	8.9
577	-0.001645	200.106955	0.000052	9.6
578	-1.600619	199.930078	0.017805	9.8
579	-1.230503	199.753617	0.012816	8.5
580	-1.110732	199.577571	0.012942	8.5
581	-1.250204	199.401938	0.021718	10.8
582	-1.587582	199.226717	0.023618	8.0
583	-0.341323	199.051905	0.006476	10.2
584	-1.231458	198.877502	0.009523	9.0
585	-1.409710	198.703506	0.030005	9.2
586	-1.266394	198.529916	0.010455	9.4
587	-1.467733	198.356729	0.028544	9.9
588	-1.544367	198.183944	0.038099	8.4
589	-0.385454	198.011560	0.006541	9.1
590	-1.088748	197.839576	0.012639	11.3
591	-1.410698	197.667989	0.008712	8.1
592	-1.454172	197.496798	0.021720	8.5
593	-1.253010	197.326002	0.010244	8.3
594	-1.643318	197.155600	0.015301	10.1
595	-0.564668	196.985589	0.004463	7.8
596	-1.053624	196.815969	0.007554	9.9
597	-0.285062	196.646738	0.005063	8.7
